metric_name,category,type,unit,series_count,redfish_series_count,inband_series_count,label_names,help
agg_data_loss_count_total,采集质量/Data loss,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem","Running count of processing cycles when the telemetry aggregator was unable to update all samples. Estimated maximum rate of change is 10000 per second. If the actual rate of change is zero, there is no data loss. Otherwise, other samples in this aggregator may report incorrect values for the duration of the data loss."
agg_data_loss_timestamp_total,采集质量/Data loss,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Timestamp of last processing cycle when the telemetry aggregator was unable to update all samples. Reported in crystal clock TSC ticks (25MHz).
aggregate_core_cstate_residency_c0_aggregate_core_cstate_residency_c0_seconds,使用量与驻留/Usage & Residency,gauge,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Aggregate Core C0 Residency in units of ?
c0_c1_c2_c3_temp_c0_temp_celsius,温度/Temperature,gauge,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Current temperature for core 0
c0_c1_c2_c3_temp_c1_temp_celsius,温度/Temperature,gauge,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Current temperature for core 1
c0_c1_c2_c3_temp_c2_temp_celsius,温度/Temperature,gauge,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Current temperature for core 2
c0_c1_c2_c3_temp_c3_temp_celsius,温度/Temperature,gauge,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Current temperature for core 3
c0_cdyn_level_0_res_microsecond_total,使用量与驻留/Usage & Residency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Cdyn level 0 residency for core 0 during last 2ms measurement
c0_cdyn_level_1_res_microsecond_total,使用量与驻留/Usage & Residency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Cdyn level 1 residency for core 0 during last 2ms measurement
c0_cdyn_level_2_res_microsecond_total,使用量与驻留/Usage & Residency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Cdyn level 2 residency for core 0 during last 2ms measurement
c0_cdyn_level_3_res_microsecond_total,使用量与驻留/Usage & Residency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Cdyn level 3 residency for core 0 during last 2ms measurement
